idx	htid	access	rights	ht_rec	enum_chron	source	source_rec	oclc_num	isbn	issn	lccn	title	imprint	rights_code	last_update	gov_doc	pub_date	pub_place	lang	bib_format	coll_code	provider_code	resp_ent_code	dig_agent_code	access_profile	author
13394664	nc01.ark:/13960/t9p279r4b	allow	pd	10936281		UNC	b4192653	29212453				Among the pines : or, South in secession-time / by Edmund Kirke.	C.T. Evans, 1862.	bib	2011-10-25 19:30:39	0	1862.0	nyu	eng	BK	IUNC	unc	unc	ia	open	Gilmore, James R. 1822-1903.
3358974	nc01.ark:/13960/t9t16484h	allow	pd	1027134		UNC	b1209693	939418			01025424	The marrow of tradition / by Charles W. Chesnutt.	Houghton, Mifflin, 1901.	bib	2013-01-31 19:54:14	0	1901	mau	eng	BK	IUNC	unc	unc	ia	open	Chesnutt, Charles W. 1858-1932.
11067781	njp.32101036130688	allow	pd	8888871		NJP	2501821	777564			23011928	Colored soldiers / by W. Irwin MacIntyre.	The J. W. Burke company, 1923.	bib	2019-01-01 08:06:37	0	1923.0	gau	eng	BK	NJP	princeton	princeton	google	google	MacIntyre, William Irwin, 1882-
10803363	njp.32101066459155	allow	pd	8663544		NJP	2858753	917991				Among the pines; or, South in secession-time. by Edmund Kirke, author of "My southern friends."	Carleton, 1864. Negro History Press [n.d.]	bib	2010-10-22 20:31:47	0	1864.0	nyu	eng	BK	NJP	princeton	princeton	google	google	Gilmore, James R. 1822-1903.
11199792	njp.32101067178770	allow	pd	8956327		NJP	1328817	30046584				The invisible empire: Part I. A new, illustrated and enlarged edition of A fool's errand, by one of the fools; the famous historical romance of life in the South since the war. Part II. A concise review of recent events ... All fully authenticated by Albion W. Tourgée ... Two parts complete in one volume.	Fords, Howard, and Hulbert. [c1880]	bib	2010-11-07 20:31:00	0	1880	nyu	eng	BK	NJP	princeton	princeton	google	google	Tourgée, Albion Winegar, 1838-1905.
11219203	njp.32101068170834	allow	pd	8968582		NJP	1684248	3213585			07007150	Bond and free; a true tale of slave times. By Jas. H. W. Howard.	E. K. Meyers, printer, 1886.	bib	2010-11-06 19:31:08	0	1886	pau	eng	BK	NJP	princeton	princeton	google	google	Howard, Jas. H. W.
10431745	nnc1.50042178	allow	pd	8407122		NNC	4420158	10267986			17024283	Ethiopia, the land of promise : a book with a purpose / by Clayton Adams.	The Cosmopolitan Press, 1917.	bib	2012-10-27 19:30:41	0	1917.0	nyu	eng	BK	NNC	columbia	columbia	google	google	Adams, Clayton, 1874-
10431746	nnc1.50042212	allow	pd	8407123		NNC	4483120	505717556			15016441	Lillian Simmons, or, The conflict of sections / a story by Otis M. Shackelford.	Burton Publishing Company, c1915.	bib	2010-09-25 20:33:42	0	1915.0	mou	eng	BK	NNC	columbia	columbia	google	google	Shackelford, Otis M., b. 1871.
15581693	nyp.33433044940785	allow	pdus	100947017	---	NYP	.b128543929	6474051			61059588 /L	Spokes for the wheel.	Kingsman Press, 1961.	ren	2021-01-12 05:25:16	0	1961.0	inu	eng	BK	NYP	nypl	nypl	google	google	Broadus, Robert Deal.
17409371	nyp.33433044962110	allow	pdus	102785250		NYP	.b128567004	6119823.0				Divided.	Pageant Press, 1963.	ren	2020-08-12 13:25:17	0	1963.0	nyu	eng	BK	NYP	nypl	nypl	google	google	Janssen, Milton W.
